x,y,z
-1.305813950260378553e-01,1.032035500242231563e-02,1.001751677912277039e+00
-1.304239958672293864e-01,1.029324388734605307e-02,1.002324764048623251e+00
-1.294258199568957823e-01,1.018274337219105506e-02,9.977171348198123901e-01
-1.282841232952493526e-01,1.007080874914150111e-02,9.920278515784616280e-01
-1.272904801971214417e-01,9.969644601689475749e-03,9.860159941725099575e-01
-1.265117887376798200e-01,9.875192462698304668e-03,9.798377600797097964e-01
-1.259512271452724042e-01,9.784432145801281663e-03,9.735333261953807993e-01
-1.255914213465748053e-01,9.694143640311464125e-03,9.671217228096538054e-01
-1.254057080159341475e-01,9.601138342972001874e-03,9.606195256172729291e-01
-1.253639425591411560e-01,9.503618187796753977e-03,9.540431673924010259e-01
-1.254361293538356625e-01,9.401096391413552023e-03,9.474083381587933284e-01
-1.255945775886076476e-01,9.294142145784082751e-03,9.407292602380694646e-01
-1.258150864497872279e-01,9.184110296767687351e-03,9.340182376336705339e-01
-1.260774589653809730e-01,9.072878803681900042e-03,9.272854754238045727e-01
-1.263655457590052156e-01,8.962602920287401909e-03,9.205391049631230782e-01
-1.266669898829404783e-01,8.855495854474171660e-03,9.137853426176338889e-01
-1.269727965333551922e-01,8.753645763094146034e-03,9.070287259345302111e-01
-1.272768168290595026e-01,8.658876000074870044e-03,9.002723852557305007e-01
-1.275752091131068244e-01,8.572650995053422707e-03,8.935183204009259361e-01
-1.278659208563407423e-01,8.496025426789174245e-03,8.867676618824538171e-01
-1.281482176523977279e-01,8.429630742097548798e-03,8.800209043947968546e-01
-1.284223958915756136e-01,8.373804146692418945e-03,8.732780795863777090e-01
-1.286900513821213343e-01,8.331281040071710983e-03,8.665386911998739228e-01
-1.289524026666965806e-01,8.302783816595368793e-03,8.598022530744191538e-01
-1.292103947792228036e-01,8.287281161015765465e-03,8.530684557464742745e-01
-1.294649415294882588e-01,8.284365938097386362e-03,8.463370026573311389e-01
-1.297168680148353959e-01,8.293554742091728202e-03,8.396076065725880389e-01
-1.299668694052693585e-01,8.314412515831660563e-03,8.328800229406474465e-01
-1.302154908919622989e-01,8.346412610769250381e-03,8.261540636131370352e-01
-1.304631211370410326e-01,8.388598248527123075e-03,8.194295974485673595e-01
-1.315464321262847791e-01,8.421166772148467455e-03,8.174136742855185878e-01
-1.336682648417507613e-01,8.445610543196771514e-03,8.212828537616501112e-01
-1.360221596538830902e-01,8.490594293005113841e-03,8.265358479900932753e-01
-1.381521115733318206e-01,8.557855704548899753e-03,8.321742316230672509e-01
-1.399695574525064157e-01,8.626001656052893762e-03,8.380010633097992878e-01
-1.414838803453554728e-01,8.711212961729001419e-03,8.439684293377787139e-01
-1.427175137578710062e-01,8.810954709259206236e-03,8.500600547142054264e-01
-1.437045704358806408e-01,8.925591842759726668e-03,8.562609787965103081e-01
-1.444844232367400172e-01,9.056028582847616346e-03,8.625544738115853427e-01
-1.450965909416316590e-01,9.198018187573009721e-03,8.689233302610261944e-01
-1.455782097300923061e-01,9.348076634873508234e-03,8.753510556749992677e-01
-1.459624902963783111e-01,9.501856889602118897e-03,8.818226667642810046e-01
-1.462779328349955998e-01,9.656297003690691300e-03,8.883251661731017546e-01
-1.465480445163100109e-01,9.809516233931057580e-03,8.948477318421079740e-01
-1.467914895059605207e-01,9.960638554486696966e-03,9.013816860007107801e-01
-1.470224771920174978e-01,1.010979376580752043e-02,9.079203508007077650e-01
-1.472512950141442178e-01,1.025804170065323408e-02,9.144588325989808641e-01
-1.474849105220070455e-01,1.040720983987752403e-02,9.209937691034602025e-01
-1.477275451230305181e-01,1.055855742007523121e-02,9.275230664503371081e-01
-1.479811740729064240e-01,1.071122641748386076e-02,9.340456761014388487e-01
-1.482460290753558896e-01,1.086313294543193343e-02,9.405614227424917706e-01
-1.485210466453501799e-01,1.101132111732051888e-02,9.470708329376589241e-01
